"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica se a API rejeita login sem o campo email, retornando 400 com ""Missing email or username"".","161","deve rejeitar login sem email","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/login > Cenários Negativos","auth.api.spec.ts","",""
"Verifica se a API retorna corretamente um recurso específico por ID com campos id e name.","303","deve retornar recurso único por ID","api-tests","2026-03-01","passed","2026-03-01","Resources API - GET /api/unknown","auth.api.spec.ts","",""
"Como um cliente autenticado
  Eu quero finalizar a compra de produtos
  Para completar minha experiência de compra","2035","Checkout completo com um único produto","","2026-03-01","passed","2026-03-01","","","",""
"Como um usuário do SauceDemo
  Eu quero fazer login na aplicação
  Para acessar o catálogo de produtos","409","Login com usuário bloqueado","","2026-03-01","passed","2026-03-01","","","",""
"Valida os tipos de dados de todos os campos do objeto usuário: id (number), email (string com formato válido), first_name (string), last_name (string), avatar (string).","167","deve validar schema completo do usuário","api-tests","2026-03-01","passed","2026-03-01","Users API - GET /api/users > Cenários Positivos","users.api.spec.ts","",""
"Verifica se a API rejeita registro quando o email não está na base de dados permitida do reqres.in.","159","deve rejeitar registro com email não cadastrado na base","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/register > Cenários Negativos","auth.api.spec.ts","",""
"Verifica o comportamento da API ao tentar deletar um usuário com ID inexistente (99999). A API reqres.in retorna 204 por ser uma API mock.","161","deve tratar DELETE para ID inexistente","api-tests","2026-03-01","passed","2026-03-01","Users API - DELETE /api/users > Cenários Negativos","users.api.spec.ts","",""
"Verifica se a API retorna ""user not found"" ao tentar login com email não registrado na base.","159","deve rejeitar login com email não cadastrado","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/login > Cenários Negativos","auth.api.spec.ts","",""
"Como um cliente autenticado
  Eu quero finalizar a compra de produtos
  Para completar minha experiência de compra","637","Verificar valores no resumo do pedido","","2026-03-01","passed","2026-03-01","","","",""
"Verifica se a API cria corretamente um novo usuário com name e job, retornando status 201 e body com os dados enviados mais id e createdAt.","162","deve criar um novo usuário com dados válidos","api-tests","2026-03-01","passed","2026-03-01","Users API - POST /api/users > Cenários Positivos","users.api.spec.ts","",""
"Como um cliente autenticado
  Eu quero finalizar a compra de produtos
  Para completar minha experiência de compra","614","Checkout sem preencher o CEP","","2026-03-01","passed","2026-03-01","","","",""
"Como um usuário do SauceDemo
  Eu quero fazer login na aplicação
  Para acessar o catálogo de produtos","411","Login com senha incorreta","","2026-03-01","passed","2026-03-01","","","",""
"Como um usuário do SauceDemo
  Eu quero fazer login na aplicação
  Para acessar o catálogo de produtos","463","Navegação após login válido","","2026-03-01","passed","2026-03-01","","","",""
"Verifica se a API rejeita registro quando o payload está completamente vazio ({}).","160","deve rejeitar registro com payload vazio","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/register > Cenários Negativos","auth.api.spec.ts","",""
"Fluxo completo de login: enviar email e senha válidos para /api/login. Espera-se status 200 com retorno de token (string não vazia) no body.","162","deve autenticar com credenciais válidas","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/login > Cenários Positivos","auth.api.spec.ts","",""
"Como um cliente autenticado
  Eu quero finalizar a compra de produtos
  Para completar minha experiência de compra","636","Checkout sem preencher o primeiro nome","","2026-03-01","passed","2026-03-01","","","",""
"Verifica o comportamento da API ao receber payload vazio. A API é permissiva e retorna 201 mesmo sem dados.","160","deve aceitar payload vazio (API permissiva)","api-tests","2026-03-01","passed","2026-03-01","Users API - POST /api/users > Cenários Negativos","users.api.spec.ts","",""
"Verifica se a API atualiza parcialmente um usuário via PATCH, enviando apenas o campo job e validando que retorna o dado atualizado com updatedAt.","162","deve atualizar parcialmente um usuário","api-tests","2026-03-01","passed","2026-03-01","Users API - PATCH /api/users","users.api.spec.ts","",""
"Verifica se a API aceita atualização via PUT enviando apenas o campo name.","160","deve atualizar apenas um campo via PUT","api-tests","2026-03-01","passed","2026-03-01","Users API - PUT /api/users > Cenários Positivos","users.api.spec.ts","",""
"Verifica se a API aceita campos adicionais (email, department) além de name e job no payload de criação.","160","deve criar usuário com campos extras","api-tests","2026-03-01","passed","2026-03-01","Users API - POST /api/users > Cenários Positivos","users.api.spec.ts","",""
"Verifica se a API retorna status 200 com array de dados vazio ao acessar uma página inexistente (999).","299","deve retornar resposta vazia para página sem dados","api-tests","2026-03-01","passed","2026-03-01","Users API - GET /api/users > Cenários Negativos","users.api.spec.ts","",""
"Verifica se a API retorna os dados completos de um usuário específico por ID, incluindo id, email, first_name, last_name, avatar e bloco support.","312","deve retornar um único usuário por ID","api-tests","2026-03-01","passed","2026-03-01","Users API - GET /api/users > Cenários Positivos","users.api.spec.ts","",""
"Como um cliente autenticado
  Eu quero finalizar a compra de produtos
  Para completar minha experiência de compra","568","Checkout com todos os campos obrigatórios vazios","","2026-03-01","passed","2026-03-01","","","",""
"Fluxo completo de registro: enviar email e senha válidos para /api/register. Espera-se status 200 com retorno de id (number) e token (string) no body.","447","deve registrar usuário com credenciais válidas","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/register > Cenários Positivos","auth.api.spec.ts","",""
"Como um cliente autenticado
  Eu quero finalizar a compra de produtos
  Para completar minha experiência de compra","630","Checkout sem preencher o sobrenome","","2026-03-01","passed","2026-03-01","","","",""
"Verifica se a API retorna a lista de usuários da página 1 com a estrutura correta de paginação, incluindo campos page, per_page, total, total_pages e array de dados com propriedades id, email, first_name, last_name e avatar.","320","deve listar usuários com paginação (página 1)","api-tests","2026-03-01","passed","2026-03-01","Users API - GET /api/users > Cenários Positivos","users.api.spec.ts","",""
